player_id,player_name_j,player_name_e,last_seen_team_id,last_seen_jersey_number,missing_before,existing_league_registered_nationality,existing_birthplace,existing_player_slot_category,fetch_status,fetch_source,status,fetched_league_registered_nationality,fetched_birthplace,proposed_league_registered_nationality,proposed_birthplace,proposed_player_slot_category,unresolved_patchable_after_proposed,review_decision,review_note
5100000064,青木 龍史,Ryuji Aoki,700,1,birthplace,日本,,日本人選手,404,official,not_found,,,,日本,,,approved_proposed,公式出生地が未確認のため、league_registered_nationalityの国名をbirthplaceへフォールバック採用
5100000065,オンドレイ・バルヴィン,Ondrej Balvin,713,12,player_slot_category,CZECH REPUBLIC,チェコ,,,not_needed,derived_from_existing_profile,,,,,外国籍選手,,approved_proposed,
5100000067,ジャスティン・ノックス,Justin Knox,697,13,player_slot_category,アメリカ合衆国,アメリカ合衆国,,,not_needed,derived_from_existing_profile,,,,,外国籍選手,,approved_proposed,
5100000068,エリアス・ハリス,Elias Harris,697,20,player_slot_category,ドイツ,ドイツ,,,not_needed,derived_from_existing_profile,,,,,外国籍選手,,approved_proposed,
5100000072,マイケル・クレイグ,Michael Craig,699,23,player_slot_category,アメリカ合衆国,アメリカ合衆国,,,not_needed,derived_from_existing_profile,,,,,外国籍選手,,approved_proposed,
5100000086,ハビエル・ゴメス デ リアニョ,Javier Gomez de Liano,712,22,player_slot_category,フィリピン,フィリピン,,,not_needed,derived_from_existing_profile,,,,,外国籍選手,,approved_proposed,
5100000090,マーク・バートン,Mark Burton,717,1,birthplace;league_registered_nationality;player_slot_category,,,,ok,official,ok_with_partial_patch,日本,,日本,日本,,player_slot_category,approved_proposed,公式出生地が未確認のため、league_registered_nationalityの国名をbirthplaceへフォールバック採用
51000098,ジェイコブス 晶,Akira Jacobs,694,4,player_slot_category,日本,神奈川県,,,not_needed,derived_from_existing_profile,,,,,日本人選手,,approved_proposed,
51000106,ロバート・ドジャー,Robert Dozier,729,00,player_slot_category,日本,福井県,,,not_needed,derived_from_existing_profile,,,,,日本人選手,,approved_proposed,
51000114,寺澤 大夢,Hiromu Terasawa,692,10,birthplace,日本,,日本人選手,ok,official,official_fields_blank,日本,,,日本,,,approved_proposed,公式出生地が未確認のため、league_registered_nationalityの国名をbirthplaceへフォールバック採用
51000126,ピータージュニア・オコエ,Peter Junior Okoye,697,22,player_slot_category,ナイジェリア,ナイジェリア,,,not_needed,derived_from_existing_profile,,,,,外国籍選手,,approved_proposed,
51000131,デュサン・ヴィチェンティッチ,Dusan Vicentic,699,23,player_slot_category,セルビア,セルビア,,,not_needed,derived_from_existing_profile,,,,,外国籍選手,,approved_proposed,
51000161,ジェイコブ・ワイリー,Jacob Wiley,698,0,birthplace,アメリカ合衆国,,外国籍選手,ok,official,official_fields_blank,アメリカ合衆国,,,アメリカ合衆国,,,approved_proposed,公式出生地が未確認のため、league_registered_nationalityの国名をbirthplaceへフォールバック採用
